| p                                          | propLabel                                                               | eff   | notes |
| http://www.wikidata.org/prop/direct/P13283 | Dizionario Biografico della Calabria Contemporanea ID                   | 20    |       |
| http://www.wikidata.org/prop/direct/P2397  | YouTube channel ID                                                      | 19    |       |
| http://www.wikidata.org/prop/direct/P10141 | Academy of Athens authority ID                                          | 19    |       |
| http://www.wikidata.org/prop/direct/P1830  | owner of                                                                | 19    |       |
| http://www.wikidata.org/prop/direct/P6200  | BBC News topic ID                                                       | 19    |       |
| http://www.wikidata.org/prop/direct/P8309  | Yle topic ID                                                            | 19    |       |
| http://www.wikidata.org/prop/direct/P3388  | LittleSis people ID                                                     | 19    |       |
| http://www.wikidata.org/prop/direct/P8666  | Regional Council of Tuscany ID                                          | 18    |       |
| http://www.wikidata.org/prop/direct/P10227 | National Library of Ireland ID                                          | 18    |       |
| http://www.wikidata.org/prop/direct/P9036  | I professori dell'Università di Pavia (1859-1961) ID                    | 18    |       |
| http://www.wikidata.org/prop/direct/P13183 | JudaicaLink person (GND) ID                                             | 18    |       |
| http://www.wikidata.org/prop/direct/P3847  | Open Library subject ID                                                 | 18    |       |
| http://www.wikidata.org/prop/direct/P451   | unmarried partner                                                       | 17    |       |
| http://www.wikidata.org/prop/direct/P9226  | ARAE ID                                                                 | 17    |       |
| http://www.wikidata.org/prop/direct/P5695  | Bibliopoche author ID                                                   | 17    |       |
| http://www.wikidata.org/prop/direct/P6178  | Dimensions author ID                                                    | 17    |       |
| http://www.wikidata.org/prop/direct/P6385  | Krugosvet article (archived)                                            | 17    |       |
| http://www.wikidata.org/prop/direct/P650   | RKDartists ID                                                           | 17    |       |
| http://www.wikidata.org/prop/direct/P12086 | WikiKids ID                                                             | 17    |       |
| http://www.wikidata.org/prop/direct/P1019  | web feed URL                                                            | 17    |       |
| http://www.wikidata.org/prop/direct/P1153  | Scopus author ID                                                        | 17    |       |
| http://www.wikidata.org/prop/direct/P7369  | National Library of Chile ID                                            | 17    |       |
| http://www.wikidata.org/prop/direct/P4527  | UK Parliament thesaurus ID                                              | 16    |       |
| http://www.wikidata.org/prop/direct/P6058  | Larousse ID                                                             | 16    |       |
