| object                                    | Postion Held                                                                                                                         | eff |
| http://www.wikidata.org/entity/Q47528730  | presidente della Puglia                                                                                                              | 1   |
| http://www.wikidata.org/entity/Q47528844  | presidente della Calabria                                                                                                            | 1   |
| http://www.wikidata.org/entity/Q3924053   | prorettore                                                                                                                           | 1   |
| http://www.wikidata.org/entity/Q47536165  | consigliere regionale della Campania                                                                                                 | 1   |
| http://www.wikidata.org/entity/Q48626476  | consigliere comunale di Milano                                                                                                       | 1   |
| http://www.wikidata.org/entity/Q50181645  | sindaco di Bari                                                                                                                      | 1   |
| http://www.wikidata.org/entity/Q50189121  | sindaco di Genova                                                                                                                    | 1   |
| http://www.wikidata.org/entity/Q50190106  | consigliere comunale di Napoli                                                                                                       | 1   |
| http://www.wikidata.org/entity/Q50247738  | consigliere di Torino                                                                                                                | 1   |
| http://www.wikidata.org/entity/Q55024074  | ministro per la semplificazione normativa della Repubblica Italiana                                                                  | 1   |
| http://www.wikidata.org/entity/Q55052684  | ministro del lavoro, della salute e delle politiche sociali della Repubblica Italiana                                                | 1   |
| http://www.wikidata.org/entity/Q55075231  | ministro senza portafoglio per la sussidiarietà e il decentramento della Repubblica Italiana                                         | 1   |
| http://www.wikidata.org/entity/Q55076107  | ministro della solidarietà sociale della Repubblica Italiana                                                                         | 1   |
| http://www.wikidata.org/entity/Q3625593   | assessore                                                                                                                            | 1   |
| http://www.wikidata.org/entity/Q2824523   | membro del consiglio di amministrazione                                                                                              | 1   |
| http://www.wikidata.org/entity/Q28798091  | ministro dell'Africa italiana del Regno d'Italia                                                                                     | 1   |
| http://www.wikidata.org/entity/Q28798093  | ministro dell'Africa italiana della Repubblica Italiana                                                                              | 1   |
| http://www.wikidata.org/entity/Q28800592  | ministro dell'agricoltura e foreste del Regno d'Italia                                                                               | 1   |
| http://www.wikidata.org/entity/Q30461     | presidente                                                                                                                           | 1   |
| http://www.wikidata.org/entity/Q31828913  | presidente del Consiglio dell'Unione europea                                                                                         | 1   |
| http://www.wikidata.org/entity/Q319544    | segretario                                                                                                                           | 1   |
| http://www.wikidata.org/entity/Q33159794  | sottosegretario di Stato del Consiglio dei ministri del Regno d'Italia                                                               | 1   |
| http://www.wikidata.org/entity/Q33200210  | alto commissario per la Sicilia                                                                                                      | 1   |
| http://www.wikidata.org/entity/Q33203558  | ministro della ricostruzione del Regno d'Italia                                                                                      | 1   |
