| wikidata_uri                              | label                              | birth_year | gender  | label                    | geo_coordinates             | wikidata_uri                             |
| http://www.wikidata.org/entity/Q239024    | Letizia Moratti                    | 1949       | femmina | Milano                   | POINT(9.190000 45.466944)   | http://www.wikidata.org/entity/Q490      |
| http://www.wikidata.org/entity/Q2460954   |                                    | 1939       | maschio | Milano                   | POINT(9.190000 45.466944)   | http://www.wikidata.org/entity/Q490      |
| http://www.wikidata.org/entity/Q24807484  | Mario Mauro                        | 1961       | maschio | San Giovanni Rotondo     | POINT(15.733333 41.700000)  | http://www.wikidata.org/entity/Q51951    |
| http://www.wikidata.org/entity/Q248926    | Josefa Idem                        | 1964       | femmina | Goch                     | POINT(6.161945 51.683889)   | http://www.wikidata.org/entity/Q16006    |
| http://www.wikidata.org/entity/Q2528845   | Vittorino Colombo                  | 1925       | maschio | Albiate                  | POINT(9.251328 45.654467)   | http://www.wikidata.org/entity/Q40633    |
| http://www.wikidata.org/entity/Q2544332   | Giuseppe Grassi                    | 1883       | maschio | Lecce                    | POINT(18.169139 40.352011)  | http://www.wikidata.org/entity/Q13386    |
| http://www.wikidata.org/entity/Q2573947   | Renato Brunetta                    | 1950       | maschio | Venezia                  | POINT(12.331944 45.439722)  | http://www.wikidata.org/entity/Q641      |
| http://www.wikidata.org/entity/Q2631089   | Italo Viglianesi                   | 1916       | maschio | Caltagirone              | POINT(14.516667 37.233333)  | http://www.wikidata.org/entity/Q478258   |
| http://www.wikidata.org/entity/Q266651    | Mara Carfagna                      | 1975       | femmina | Salerno                  | POINT(14.759444 40.680556)  | http://www.wikidata.org/entity/Q1083     |
| http://www.wikidata.org/entity/Q273228    | Amintore Fanfani                   | 1908       | maschio | Pieve Santo Stefano      | POINT(12.042222 43.672500)  | http://www.wikidata.org/entity/Q52094    |
| http://www.wikidata.org/entity/Q276023    | Susanna Agnelli                    | 1922       | femmina | Torino                   | POINT(7.676111 45.079167)   | http://www.wikidata.org/entity/Q495      |
| http://www.wikidata.org/entity/Q2824733   | Adolfo Urso                        | 1957       | maschio | Padova                   | POINT(11.873333 45.407778)  | http://www.wikidata.org/entity/Q617      |
| http://www.wikidata.org/entity/Q2832307   | Aldo Brancher                      | 1943       | maschio | Trichiana                | POINT(12.134445 46.074444)  | http://www.wikidata.org/entity/Q40468    |
| http://www.wikidata.org/entity/Q2847139   | Giuseppe Tatarella                 | 1935       | maschio | Cerignola                | POINT(15.900000 41.266667)  | http://www.wikidata.org/entity/Q19277    |
| http://www.wikidata.org/entity/Q2850556   | Anna Maria Bernini                 | 1965       | femmina | Bologna                  | POINT(11.342778 44.493889)  | http://www.wikidata.org/entity/Q1891     |
| http://www.wikidata.org/entity/Q2871689   | Augusto Fantozzi                   | 1940       | maschio | Roma                     | POINT(12.482778 41.893056)  | http://www.wikidata.org/entity/Q220      |
| http://www.wikidata.org/entity/Q291186    | Paola Severino                     | 1948       | femmina | Napoli                   | POINT(14.248611 40.835833)  | http://www.wikidata.org/entity/Q2634     |
| http://www.wikidata.org/entity/Q291249    | Annamaria Cancellieri              | 1943       | femmina | Roma                     | POINT(12.482778 41.893056)  | http://www.wikidata.org/entity/Q220      |
| http://www.wikidata.org/entity/Q2934352   | Calogero Mannino                   | 1939       | maschio | Asmara                   | POINT(38.916667 15.333333)  | http://www.wikidata.org/entity/Q3642     |
| http://www.wikidata.org/entity/Q2947026   | Cesare Previti                     | 1934       | maschio | Reggio Calabria          | POINT(15.650000 38.114439)  | http://www.wikidata.org/entity/Q8471     |
| http://www.wikidata.org/entity/Q2947036   | Cesare Salvi                       | 1948       | maschio | Lecce                    | POINT(18.169139 40.352011)  | http://www.wikidata.org/entity/Q13386    |
| http://www.wikidata.org/entity/Q30332120  | Mario Pavan                        | 1918       | maschio | Vado Ligure              | POINT(8.436070 44.269175)   | http://www.wikidata.org/entity/Q271350   |
| http://www.wikidata.org/entity/Q303466    | Maurizio Sacconi                   | 1950       | maschio | Conegliano               | POINT(12.296944 45.887222)  | http://www.wikidata.org/entity/Q47224    |
| http://www.wikidata.org/entity/Q3049593   | Oddo Biasini                       | 1917       | maschio | Cesena                   | POINT(12.233333 44.133333)  | http://www.wikidata.org/entity/Q6662     |
| http://www.wikidata.org/entity/Q3054632   |                                    | 1942       | maschio | La Spezia                | POINT(9.828881 44.108044)   | http://www.wikidata.org/entity/Q8611     |
| http://www.wikidata.org/entity/Q3056712   | Ermanno Gorrieri                   | 1920       | maschio | Magreta                  | POINT(10.795430 44.598040)  | http://www.wikidata.org/entity/Q16268490 |
